Ureal,Uimag,fvec
-1.0047518372857667e-14,0.0,0.0
0.017640887196048505,-0.17347700509420563,0.3225806451612903
0.10832055904417476,-0.5270939438117035,0.6451612903225806
2.2422228490418914,-7.146480904591788,0.967741935483871
-0.3807174995239857,0.8871766848942844,1.2903225806451613
-0.24715680942482066,0.445291255058202,1.6129032258064515
-0.2077293645138631,0.2984529220305179,1.935483870967742
-0.18962378985686312,0.2208852762836533,2.258064516129032
-0.17959183262144052,0.170714766747836,2.5806451612903225
-0.17343027607370104,0.13424502622031198,2.903225806451613
-0.16940829336482452,0.10559299665265581,3.225806451612903
-0.1666942511417623,0.0817674338517142,3.5483870967741935
-0.16484699808253395,0.06105262402196049,3.870967741935484
-0.1636178440250713,0.042363594933061466,4.193548387096774
-0.16286336439735244,0.024949749729626436,4.516129032258064
-0.16250397225589047,0.00824126873710701,4.838709677419355
-0.16250397225589047,-0.00824126873710701,5.161290322580645
-0.16286336439735244,-0.024949749729626436,5.483870967741935
-0.1636178440250713,-0.042363594933061466,5.806451612903226
-0.16484699808253395,-0.06105262402196049,6.129032258064516
-0.1666942511417623,-0.0817674338517142,6.451612903225806
-0.16940829336482452,-0.10559299665265581,6.774193548387097
-0.17343027607370104,-0.13424502622031198,7.096774193548387
-0.17959183262144052,-0.170714766747836,7.419354838709677
-0.18962378985686312,-0.2208852762836533,7.741935483870968
-0.2077293645138631,-0.2984529220305179,8.064516129032258
-0.24715680942482066,-0.445291255058202,8.387096774193548
-0.3807174995239857,-0.8871766848942844,8.709677419354838
2.2422228490418914,7.146480904591788,9.032258064516128
0.10832055904417476,0.5270939438117035,9.35483870967742
0.017640887196048505,0.17347700509420563,9.67741935483871
